estado_accion,estado_velocidad,frase,accion,velocidad
adelante + izquierda,rapido,vamos adelante!,adelante,rapido
adelante + izquierda,normal,Gira A La Derecha,adelante,normal
adelante,normal,aumeNta La velocidad en Friega,adelante,rapido
prendida,detenida,voltea a la derecha normal??,derecha,normal
apagado,detenida,prendete ahora,prender,detenida
adelante + izquierda,rapido,silla derecha,adelante,rapido
prendida,detenida,silla izquierda,izquierda,null
prendida,detenida,con mas vElocidad eN esTe momento,null,rapido
adelante,rapido,subele LA veLoCidad En corto,adelante,rapido
prendida,detenida,pa enfrente,adelante,null
prendida,detenida,haCiA LA izquieRdA rapiDo,izquierda,rapido
adelante + izquierda,lenta,Para Enfrente,adelante,lenta
adelante + izquierda,lenta,derecha ya,adelante,lenta
izquierda,rapido,MAS RAPIDO EN ESTE MOMENTO!,izquierda,rapido
prendida,lenta,mete mas velocidad de inmediato.,null,rapido
prendida,detenida,apagate ya,apagar,detenida
adelante + izquierda,normal,a La deReCHa.,adelante,normal
adelante,detenida,bajale la velocidad ya,adelante,lenta
adelante,rapido,Manten Velocidad Normal Ya,adelante,normal
prendida,lenta,echale para enfrente,adelante,null
prendida,detenida,gira para la izquierda mete velocidad,izquierda,rapido
prendida,detenida,sigue derecho despacito,adelante,lenta
apagado,detenida,enciende en este momento,prender,detenida
prendida,detenida,para enfrente,adelante,null
prendida,lenta,desacelera de inmediato,null,lenta
adelante + izquierda,normal,voltea a la derecha,adelante,normal
adelante + izquierda,normal,silla derecha,adelante,normal
prendida,normal,para enfrente,adelante,null
prendida,detenida,Gira Hacia La Izquierda Mete Velocidad??,izquierda,rapido
prendida,detenida,manten velocidad normal ahora,null,normal
prendida,detenida,derecha,derecha,null
adelante + derecha,normal,para enfrente,adelante,normal
adelante,lenta,gira a la derecha!!,adelante + derecha,lenta
prendida,detenida,cierra en corto,apagar,detenida
prendida,detenida,vamos adelante,adelante,null
prendida,detenida,tuerCe para la derecha A veloCidad NoRMal,derecha,normal
prendida,lenta,avanza!!,adelante,null
prendida,detenida,aPaga de una,apagar,detenida
prendida,rapido,subele la velocidad en corto!,null,rapido
adelante,rapido,velocidad normal en friega,adelante,normal
apagado,detenida,Prende Ahora,prender,detenida
adelante + izquierda,rapido,avanza,adelante,rapido
adelante + derecha,normal,vamos adelante,adelante,normal
prendida,detenida,Voltea A La Derecha,derecha,null
apagado,detenida,activate en este momento,prender,detenida
adelante,rapido,velocidad normal,adelante,normal
apagado,detenida,enciende ya,prender,detenida
prendida,detenida,a la derecha lenta,derecha,lenta
adelante + derecha,rapido,IZQUIERDA YA,adelante,rapido
derecha,normal,bajale la velocidad de inmediato,derecha,lenta
adelante,rapido,a la izquierda,adelante + izquierda,rapido
prendida,detenida,rueda al frente,adelante,normal
prendida,detenida,continua al frente mete velocidad!!,adelante,rapido
adelante + izquierda,lenta,DALE ADELANTE.,adelante,lenta
adelante,normal,silla izquierda,adelante + izquierda,normal
prendida,detenida,ruEdA PaRa AdElante cOn cuidAdo,adelante,lenta
adelante,lenta,IZQUIERDA YA,adelante + izquierda,lenta
prendida,detenida,silla adelante,adelante,null
apagado,detenida,prende ahora,prender,detenida
derecha,detenida,bajale la velocidad ahorita,derecha,lenta
adelante,rapido,Derecha,adelante + derecha,rapido
derecha,detenida,modo normal ya,derecha,normal
adelante,normal,a LA derecHa,adelante + derecha,normal
prendida,detenida,hacia adelaNte rApidO,adelante,rapido
prendida,detenida,izquierda,izquierda,null
adelante,normal,normal ya,adelante,normal
adelante,detenida,DesaceLera de uNA,adelante,lenta
prendida,detenida,acelera,null,rapido
adelante + izquierda,normal,dale adelante??,adelante,normal
prendida,detenida,para enfrente rapido,adelante,rapido
prendida,detenida,vamos adelante,adelante,null
adelante,rapido,silla derecha,adelante + derecha,rapido
prendida,lenta,SILLA ADELANTE?,adelante,null
adelante,detenida,a velocidad normal ya.,adelante,normal
prendida,detenida,APAGA EN CORTO!,apagar,detenida
prendida,detenida,gira a la izquierda,izquierda,null
adelante,lenta,voltea a la izquierda,adelante + izquierda,lenta
prendida,detenida,hacia la derecha despacito,derecha,lenta
prendida,detenida,apagate de una,apagar,detenida
adelante,detenida,voLtea a la dEReCha,adelante + derecha,detenida
prendida,detenida,para enfrente?,adelante,null
prendida,normal,para enfrente,adelante,null
adelante,rapido,aumenta la velocidad de una,adelante,rapido
adelante,lenta,voltea a la derecha,adelante + derecha,lenta
apagado,detenida,silla prende.,prender,detenida
prendida,lenta,para enfrente,adelante,null
adelante + izquierda,normal,para enfrente,adelante,normal
adelante + derecha,rapido,ECHALE PARA ENFRENTE,adelante,rapido
prendida,detenida,dale adelante,adelante,null
adelante,rapido,ACELERA DE INMEDIATO,adelante,rapido
prendida,detenida,VAMOS ADELANTE DESPACIO...,adelante,lenta
prendida,rapido,reduce la velocidad ya,null,lenta
prendida,normal,avanza!,adelante,null
adelante,lenta,a velocidad normal ahorita,adelante,normal
prendida,normal,para enfrente,adelante,null
prendida,detenida,baja la velocidad,null,lenta
adelante,rapido,izquierda ya,adelante + izquierda,rapido
apagado,detenida,prendete de una,prender,detenida
prendida,detenida,cierra ahora,apagar,detenida
prendida,detenida,pa enfrente lento,adelante,lenta
prendida,detenida,gira a la derecha??,derecha,null
prendida,detenida,para enfrente apurate,adelante,rapido
prendida,detenida,adelantate rapido,adelante,rapido
prendida,detenida,modo normal ahorita,null,normal
adelante + izquierda,normal,vamos adelante??,adelante,normal
adelante,detenida,disminuye la velocidad,adelante,normal
prendida,detenida,Avanza,adelante,null
adelante + derecha,rapido,izquierda,adelante,rapido
adelante,detenida,velocidad normal,adelante,normal
prendida,normal,dale adelante,adelante,null
prendida,detenida,a la izquierda,izquierda,normal
prendida,detenida,rueda hacia adelante tranqui,adelante,lenta
adelante + derecha,detenida,muevete adelante,adelante,detenida
adelante,normal,derecha ya,adelante + derecha,normal
adelante,detenida,Mas Despacio,adelante,lenta
adelante,rapido,gira a la izquierda,adelante + izquierda,rapido
prendida,detenida,gira pa' la derecha,derecha,normal
apagado,detenida,prendete ahora??,prender,detenida
prendida,normal,SILLA ADELANTE,adelante,null
prendida,detenida,normal,null,normal
prendida,detenida,al lado izquierdo despacio,izquierda,lenta
izquierda,normal,aumenta la velocidad en este momento,izquierda,rapido
prendida,detenida,vamos adelante.,adelante,null
prendida,detenida,Con Calma En Friega,null,lenta
derecha,lenta,aumenta la velocidad en este momento,derecha,rapido
adelante + derecha,rapido,izquierda,adelante,rapido
prendida,rapido,aumenta la velocidad en friega,null,rapido
apagado,detenida,ENCIENDE,prender,detenida
prendida,detenida,muevete adelante,adelante,null
apagado,detenida,enciende en este momento,prender,detenida
apagado,detenida,prende de una,prender,detenida
adelante + izquierda,normal,avanza.,adelante,normal
adelante,rapido,silla izquierda,adelante + izquierda,rapido
apagado,detenida,arranca en corto,prender,detenida
adelante,lenta,no tan rapiDO en cOrto,adelante,lenta
prendida,detenida,para enfrente despacito!!,adelante,lenta
adelante + izquierda,lenta,A La Derecha?,adelante,lenta
prendida,detenida,muevete a la derecha normal,derecha,normal
adelante,rapido,voltea a la izquierda,adelante + izquierda,rapido
prendida,lenta,sube la velocidad,null,rapido
adelante,detenida,AceLERa,adelante,rapido
prendida,detenida,hiberna,apagar,detenida
prendida,detenida,apaga,apagar,detenida
adelante,normal,izquierda,adelante + izquierda,normal
adelante + derecha,rapido,izquierda ya,adelante,rapido
prendida,detenida,para enfrente tranqui,adelante,lenta
adelante + izquierda,detenida,avanza,adelante,detenida
prendida,detenida,derecha despacio,derecha,lenta
prendida,detenida,A LA IZQUIERDA,izquierda,null
adelante,rapido,A LA DERECHA,adelante + derecha,rapido
prendida,lenta,echale para enfrente,adelante,null
prendida,detenida,subele la velocidad ya,null,rapido
prendida,detenida,para enfrente acelera...,adelante,rapido
prendida,detenida,echale para enfrente a velocidad normal...,adelante,normal
apagado,detenida,prender,prender,detenida
prendida,detenida,desconectate de inmediato,apagar,detenida
prendida,detenida,ECHALE PARA ENFRENTE...,adelante,null
prendida,normal,Desacelera En Este Momento,null,lenta
adelante,normal,a la derecha,adelante + derecha,normal
prendida,detenida,continua para enfrente mas rapido,adelante,rapido
adelante,normal,Bajale La Velocidad De Una,adelante,lenta
prendida,detenida,avanza,adelante,null
adelante,normal,CON MAS VELOCIDAD EN ESTE MOMENTO,adelante,rapido
prendida,detenida,derecha,derecha,null
adelante,rapido,izquierda ya,adelante + izquierda,rapido
adelante,lenta,gira a lA izquieRda!!,adelante + izquierda,lenta
prendida,detenida,apagate ahora?,apagar,detenida
prendida,detenida,Apagate Ya,apagar,detenida
adelante,lenta,con calma en friega,adelante,lenta
prendida,detenida,izquierda lenta,izquierda,lenta
prendida,rapido,SUBELE LA VELOCIDAD EN CORTO,null,rapido
prendida,detenida,sigue derecho a velocidad normal,adelante,normal
adelante,normal,gira a la izquierda,adelante + izquierda,normal
adelante,normal,silla derecha,adelante + derecha,normal
adelante,lenta,mete mas velocidad de inmediato,adelante,rapido
adelante + izquierda,normal,silla derecha,adelante,normal
prendida,lenta,SILLA ADELANTE!,adelante,null
adelante + derecha,rapido,voltea a la izquierda??,adelante,rapido
prendida,detenida,Da Vuelta Hacia La Derecha Con Mas Velocidad,derecha,rapido
prendida,detenida,Rueda Para Enfrente Mas Rapido,adelante,rapido
prendida,detenida,a velOcidad normal ya,null,normal
adelante,rapido,Reduce La Velocidad Ya,adelante,lenta
adelante + derecha,lenta,sIlla ADelAnte,adelante,lenta
prendida,detenida,apaga en este momento,apagar,detenida
prendida,detenida,SILLA DERECHA,derecha,null
adelante + derecha,normal,gira a la izquierda,adelante,normal
prendida,detenida,Cierra Ahora,apagar,detenida
prendida,detenida,apagAte yA,apagar,detenida
adelante,rapido,derecha,adelante + derecha,rapido
prendida,detenida,vamos adelante,adelante,null
prendida,detenida,gira a la derecha con mas velocidad,derecha,rapido
prendida,detenida,voltea a la izquierda,izquierda,null
prendida,normal,Reduce La Velocidad En Friega,null,lenta
prendida,normal,Mete Turbo!,null,rapido
adelante,rapido,Rapido!,adelante,rapido
adelante + derecha,normal,a la izquierda,adelante,normal
prendida,normal,Vamos Adelante??,adelante,null
prendida,detenida,silla adelante,adelante,null
prendida,rapido,aumenta la velocidad en corto,null,rapido
adelante,normal,A LA DERECHA,adelante + derecha,normal
prendida,detenida,Gira Al Lado Derecho Con Calma,derecha,lenta
adelante + izquierda,normal,voltea a la derecha,adelante,normal
adelante + derecha,normal,Silla Adelante,adelante,normal
prendida,detenida,velocIdad noRmaL eN friegA,null,normal
adelante,lenta,a la izquierda?,adelante + izquierda,lenta
derecha,detenida,con Calma ahOriTa,derecha,lenta
adelante + izquierda,detenida,Derecha,adelante,detenida
prendida,detenida,voltea a la izquierda,izquierda,null
apagado,detenida,prendete de una!!,prender,detenida
prendida,detenida,RUEDA DE FRENTE APURATE,adelante,rapido
adelante,rapido,derecha ya,adelante + derecha,rapido
adelante,detenida,baja a normal,adelante,normal
adelante,normal,a velocidad normal de una,adelante,normal
adelante,lenta,derecha,adelante + derecha,lenta
prendida,rapido,mete turbo,null,rapido
prendida,detenida,tuerce para la izquierda lento,izquierda,lenta
adelante + izquierda,normal,a la derecha,adelante,normal
apagado,detenida,inicia en friega,prender,detenida
adelante + derecha,lenta,a la izquierda,adelante,lenta
prendida,detenida,DOBLA PA' LA IZQUIERDA DESPACIO,izquierda,lenta
adelante + izquierda,rapido,derecha,adelante,rapido
prendida,detenida,da vuelta pa' la izquierda normal,izquierda,normal
adelante + derecha,normal,VAMOS ADELANTE,adelante,normal
adelante,normal,izquierda ya,adelante + izquierda,normal
adelante + izquierda,normal,derecha,adelante,normal
adelante,normal,voltea a la izquierda,adelante + izquierda,normal
prendida,rapido,A Velocidad Normal De Una,null,normal
adelante + derecha,detenida,Avanza,adelante,detenida
prendida,detenida,gira al lado derecho con calma,derecha,lenta
prendida,rapido,mas rapido de una,null,rapido
prendida,detenida,da vuelta para la derecha suavecito?,derecha,lenta
adelante,lenta,derecha,adelante + derecha,lenta
adelante,lenta,A LA DERECHA,adelante + derecha,lenta
prendida,detenida,arrancate derecho suavecito,adelante,lenta
adelante,normal,gira a la derecha,adelante + derecha,normal
prendida,detenida,rueda derecho.,adelante,normal
prendida,detenida,mete mas velocidad en este momento,null,rapido
adelante + derecha,lenta,izquierda,adelante,lenta
prendida,detenida,sigue derecho normal,adelante,normal
adelante,normal,subele la velocidad,adelante,rapido
adelante,detenida,izquierda ya,adelante + izquierda,detenida
derecha,normal,reduce velocidad,derecha,lenta
adelante,rapido,gira a la izquierda,adelante + izquierda,rapido
prendida,rapido,muevete adelante,adelante,null
adelante,rapido,a la derecha,adelante + derecha,rapido
adelante + derecha,lenta,a la izquierda,adelante,lenta
prendida,detenida,sigue derecho con calma,adelante,lenta
prendida,detenida,continua para adelante normal,adelante,normal
adelante + izquierda,lenta,derecHa Ya,adelante,lenta
prendida,detenida,modo normal ya,null,normal
prendida,detenida,al lado izquierdo con mas velocidad!!,izquierda,rapido
apagado,detenida,PRENDETE DE UNA,prender,detenida
adelante,normal,con mas velocidad,adelante,rapido
prendida,detenida,da vuelta pa' la derecha lento??,derecha,lenta
prendida,lenta,para enfrente,adelante,null
derecha,normal,subele la velocidad en este momento...,derecha,rapido
adelante + izquierda,lenta,silla derecha,adelante,lenta
adelante,rapido,aumenta la velocidad de inmediato.,adelante,rapido
prendida,detenida,Derecho Despacito,adelante,lenta
adelante,lenta,mete mas velocidad,adelante,rapido
prendida,rapido,muevete adelante,adelante,null
adelante + derecha,normal,izquierda ya,adelante,normal
adelante + izquierda,lenta,voltea a la derecha,adelante,lenta
adelante + izquierda,detenida,a la derecha,adelante,detenida
adelante,lenta,voltea a la izquierda,adelante + izquierda,lenta
prendida,detenida,APaga.,apagar,detenida
apagado,detenida,enciendete de una,prender,detenida
prendida,normal,Dale Adelante,adelante,null
prendida,detenida,apurate.,null,rapido
derecha,rapido,con calma de inmediato,derecha,lenta
adelante + derecha,normal,silla izquierda,adelante,normal
prendida,detenida,silla adelante,adelante,null
prendida,detenida,derecha ya??,derecha,null
adelante,lenta,derecha,adelante + derecha,lenta
prendida,detenida,apaga ahora,apagar,detenida
prendida,detenida,dobla para la izquierda mas rapido,izquierda,rapido
derecha,normal,a velociDad normal de una,derecha,normal
prendida,detenida,ve derecho mas rapido?,adelante,rapido
prendida,detenida,apurate,null,rapido
adelante,lenta,a la derecha,adelante + derecha,lenta
prendida,detenida,muevete para enfrente mas rapido,adelante,rapido
adelante,lenta,Derecha,adelante + derecha,lenta
prendida,detenida,ARRANCATE DE FRENTE,adelante,normal
prendida,normal,muevete adelante,adelante,null
adelante + derecha,lenta,voltea a la izquierda,adelante,lenta
adelante,detenida,disminuye la velocidad,adelante,normal
adelante,rapido,silla Derecha,adelante + derecha,rapido
adelante + derecha,lenta,izquierda ya,adelante,lenta
adelante,detenida,velocidad normal en este momento,adelante,normal
prendida,detenida,derEcho mas rapido,adelante,rapido
prendida,detenida,dale adelante normal,adelante,normal
apagado,detenida,aRRancA,prender,detenida
prendida,detenida,A LA IZQUIERDA,izquierda,null
prendida,detenida,dobla pa' la izquierda con mas velocidad,izquierda,rapido
adelante + izquierda,lenta,para enfrente,adelante,lenta
prendida,detenida,pa enfrente rapido,adelante,rapido
apagado,detenida,Enciende Ya,prender,detenida
prendida,detenida,Silla Apagate,apagar,detenida
adelante,lenta,izquierda ya,adelante + izquierda,lenta
prendida,detenida,silla derecha,derecha,null
prendida,detenida,muevete adelante,adelante,null
apagado,detenida,inicia en corto,prender,detenida
adelante,detenida,mete mas velocidad de inmediato,adelante,rapido
adelante,rapido,subele la velocidad en este momento.,adelante,rapido
prendida,detenida,voltea a la izquierda rapido,izquierda,rapido
prendida,lenta,vamos adelante.,adelante,null
prendida,detenida,desconectate de inmediato,apagar,detenida
prendida,detenida,Pa' La Izquierda Apurate,izquierda,rapido
adelante,normal,derecha ya,adelante + derecha,normal
prendida,detenida,rueda hacia adelante despacio!!,adelante,lenta
adelante + izquierda,lenta,derecha,adelante,lenta
prendida,detenida,derecha!,derecha,null
prendida,detenida,dobla a la derecha a velocidad normal,derecha,normal
adelante + izquierda,normal,gira a la derecha,adelante,normal
prendida,rapido,mete mas velocidad ya,null,rapido
prendida,detenida,Aumenta La Velocidad Ya,null,rapido
adelante,normal,NO TAN RAPIDO DE INMEDIATO,adelante,lenta
apagado,detenida,Arranca...,prender,detenida
adelante,detenida,Disminuye La Velocidad,adelante,normal
prendida,detenida,APAGATE AHORA,apagar,detenida
apagado,detenida,silla prende,prender,detenida
adelante,normal,izquierda,adelante + izquierda,normal
adelante,lenta,voltea a la derecha,adelante + derecha,lenta
adelante + derecha,lenta,silla adelante,adelante,lenta
prendida,lenta,bajale la velocidad ahorita,null,lenta
adelante,detenida,DErecha Ya,adelante + derecha,detenida
prendida,detenida,desconectate de inmediato,apagar,detenida
prendida,detenida,derecho con cuidado,adelante,lenta
prendida,detenida,continua hacia adelante mete velocidad,adelante,rapido
prendida,normal,bajale la velocidad ahorita,null,lenta
prendida,detenida,silla derecha!!,derecha,null
prendida,detenida,PARA ENFRENTE MAS RAPIDO,adelante,rapido
derecha,rapido,Modo Normal Ahorita?,derecha,normal
adelante,detenida,velocidad normal en este momento??,adelante,normal
prendida,detenida,rueda para enfrente apurate,adelante,rapido
prendida,detenida,muevete al lado izquierdo,izquierda,normal
prendida,detenida,ARRANCATE PARA ADELANTE SUAVECITO,adelante,lenta
prendida,detenida,desactivate en corto,apagar,detenida
adelante + derecha,lenta,a la izquierda,adelante,lenta
prendida,detenida,silla adelante,adelante,null
adelante,rapido,gira a la derecha,adelante + derecha,rapido
adelante + izquierda,rapido,derecha ya,adelante,rapido
prendida,detenida,VE AL LADO DERECHO CON MAS VELOCIDAD,derecha,rapido
adelante + izquierda,detenida,silla derecha,adelante,detenida
adelante,normal,gira a la izquierda,adelante + izquierda,normal
prendida,detenida,hacia La derecha noRmal,derecha,normal
prendida,detenida,gira a la derecha,derecha,null
adelante + izquierda,normal,adelante,adelante,normal
prendida,detenida,derecho mas rapido,adelante,rapido
prendida,detenida,Rueda Para Enfrente Apurate,adelante,rapido
adelante + izquierda,rapido,echale para enfrente,adelante,rapido
adelante,lenta,despacito?,adelante,lenta
prendida,detenida,echalE DErecho,adelante,normal
prendida,detenida,gira a la izquierda,izquierda,null
prendida,rapido,no tan rapido en este momento,null,lenta
adelante,normal,voltea a la derecha...,adelante + derecha,normal
apagado,detenida,inicia en friega,prender,detenida
izquierda,lenta,mas lento en friega,izquierda,lenta
prendida,detenida,silla derecha,derecha,null
prendida,detenida,voltea pa' la izquierda,izquierda,normal
adelante,rapido,silla izquierda,adelante + izquierda,rapido
adelante,detenida,con mas velocidad en este momento?,adelante,rapido
adelante,lenta,a la derecha...,adelante + derecha,lenta
prendida,detenida,derecho lento,adelante,lenta
prendida,detenida,gira a la derecha rapido,derecha,rapido
adelante + derecha,lenta,izquierda ya,adelante,lenta
prendida,detenida,dale derecho mete velocidad,adelante,rapido
adelante,rapido,silla izquierda,adelante + izquierda,rapido
prendida,detenida,derecha,derecha,null
adelante,detenida,AUMENTA LA VELOCIDAD YA,adelante,rapido
prendida,detenida,pa' la derecha con mas velocidad,derecha,rapido
adelante,normal,Derecha Ya?,adelante + derecha,normal
prendida,detenida,Apaga En Corto,apagar,detenida
adelante,rapido,A La Izquierda,adelante + izquierda,rapido
adelante,detenida,voltea a la derecha,adelante + derecha,detenida
adelante,rapido,voltea a la izquierda,adelante + izquierda,rapido
prendida,detenida,cierra en friega,apagar,detenida
adelante,rapido,voltea a la derecha,adelante + derecha,rapido
adelante + derecha,normal,silla izquierda,adelante,normal
prendida,detenida,gira a la iZquieRda con cUidado,izquierda,lenta
adelante,lenta,derecha,adelante + derecha,lenta
prendida,detenida,al lado izquierdo apurate,izquierda,rapido
adelante + derecha,normal,silla izquierda,adelante,normal
adelante,detenida,desacelera en friega,adelante,lenta
adelante,lenta,silla izquierda,adelante + izquierda,lenta
prendida,detenida,APAGATE,apagar,detenida
prendida,rapido,aumenta la velocidad ahorita,null,rapido
prendida,detenida,Muevete Hacia Adelante,adelante,normal
adelante,rapido,con mas velocidad de inmediato,adelante,rapido
adelante,lenta,derecha!!,adelante + derecha,lenta
prendida,detenida,pa' la derecha lento,derecha,lenta
prendida,normal,modo normal ya,null,normal
adelante,rapido,IZQUIERDA YA,adelante + izquierda,rapido
adelante,normal,mete mas velocidad ahora,adelante,rapido
adelante,lenta,mAnten Velocidad Normal ya,adelante,normal
prendida,normal,mas lento ya,null,lenta
prendida,lenta,desacelera ahorita,null,lenta
adelante + izquierda,rapido,dale adelante??,adelante,rapido
prendida,detenida,Cierra En Corto,apagar,detenida
prendida,detenida,izquierda,izquierda,null
prendida,detenida,silla derecha,derecha,null
izquierda,lenta,MAS LENTO DE UNA,izquierda,lenta
adelante + derecha,rapido,silla izquierda...,adelante,rapido
adelante,normal,Voltea A La Derecha,adelante + derecha,normal
prendida,detenida,muevete hacia adelante despacio,adelante,lenta
prendida,detenida,Vamos Adelante,adelante,null
prendida,detenida,vamOs adelante,adelante,null
adelante,detenida,voltea a la izquierda,adelante + izquierda,detenida
adelante,rapido,velocidad normal en este momento,adelante,normal
adelante + derecha,normal,Voltea A La Izquierda,adelante,normal
prendida,detenida,para enfrente despacio,adelante,lenta
adelante,normal,GIRA A LA DERECHA,adelante + derecha,normal
adelante,lenta,mas lento de una,adelante,lenta
prendida,detenida,dEsACelera en este momentO,null,lenta
adelante + izquierda,normal,a la derecha,adelante,normal
prendida,detenida,lento!,null,lenta
adelante + derecha,rapido,avanza,adelante,rapido
prendida,detenida,muevete adelante!,adelante,null
prendida,detenida,voltea a la izquierda!!,izquierda,null
prendida,detenida,echale al frente,adelante,normal
adelante,rapido,derecha,adelante + derecha,rapido
prendida,detenida,manten velocidad normal ya,null,normal
adelante,detenida,gira a la derecha,adelante + derecha,detenida
prendida,detenida,izquierda ya,izquierda,null
prendida,detenida,rapido,null,rapido
apagado,detenida,prende la silla,prender,detenida
adelante + derecha,rapido,Gira a lA IZquIerDa,adelante,rapido
prendida,detenida,silla adelante,adelante,null
prendida,detenida,ve hacia la derecha normal,derecha,normal
prendida,detenida,a la derecha!!,derecha,null
adelante + izquierda,rapido,silla adelante,adelante,rapido
prendida,detenida,Dale Adelante Mas Rapido,adelante,rapido
prendida,normal,Mas Lento De Una,null,lenta
prendida,detenida,al frente rapido,adelante,rapido
prendida,detenida,sigue para enfrente,adelante,normal
prendida,detenida,con mas velocidad ya!!,null,rapido
adelante,normal,voltea a la izquierda,adelante + izquierda,normal
adelante,rapido,aumenta la velocidad ya,adelante,rapido
adelante,lenta,derecha ya??,adelante + derecha,lenta
prendida,rapido,a velocidad normal ahorita,null,normal
adelante,normal,derecha,adelante + derecha,normal
adelante + derecha,lenta,voltea a la izquierda,adelante,lenta
adelante + izquierda,rapido,derecha ya,adelante,rapido
adelante,normal,gira a la izquierda,adelante + izquierda,normal
prendida,detenida,para enfrente rapido,adelante,rapido
prendida,detenida,silla adelante,adelante,null
prendida,detenida,Avanza Con Calma,adelante,lenta
prendida,rapido,lento,null,lenta
adelante + derecha,lenta,silla adelante,adelante,lenta
adelante,lenta,GIRa a la deRecha,adelante + derecha,lenta
prendida,detenida,vamos adelante,adelante,null
prendida,detenida,derecho mete velocidad,adelante,rapido
prendida,detenida,muevete adelante,adelante,null
prendida,rapido,modo normal ahorita,null,normal
adelante,normal,giRA a La izquiErdA,adelante + izquierda,normal
apagado,detenida,inicia en corto,prender,detenida
prendida,lenta,tranqui,null,lenta
prendida,detenida,echale para enfrente?,adelante,null
adelante,rapido,reduce la velocidad,adelante,lenta
prendida,detenida,vamos adelante,adelante,null
prendida,detenida,Normal,null,normal
prendida,detenida,desconectate en corto,apagar,detenida
prendida,detenida,echale para enfrente,adelante,null
adelante,lenta,silla izquierda??,adelante + izquierda,lenta
prendida,detenida,GIRA A LA IZQUIERDA,izquierda,null
prendida,detenida,derecha ya,derecha,null
prendida,detenida,izquierda ya...,izquierda,null
prendida,rapido,pa enfrente,adelante,null
adelante + izquierda,normal,derecHa,adelante,normal
apagado,detenida,enciendete de una,prender,detenida
apagado,detenida,enciende ya...,prender,detenida
adelante,normal,silla izquierda,adelante + izquierda,normal
adelante,rapido,a la izquierda,adelante + izquierda,rapido
apagado,detenida,aRrAnca en cortO,prender,detenida
adelante,detenida,mas lento en friega,adelante,lenta
prendida,detenida,apaga de una,apagar,detenida
adelante + derecha,rapido,silla izquierda,adelante,rapido
prendida,detenida,a velocidad normal,null,normal
prendida,lenta,adelante!,adelante,null
prendida,detenida,voltea a la derecha,derecha,null
prendida,detenida,pa enfRenTe,adelante,null
apagado,detenida,inicia en friega,prender,detenida
adelante,rapido,mas lento en friega,adelante,lenta
adelante + derecha,rapido,silla izquierda,adelante,rapido
apagado,detenida,enciendete ahorita?,prender,detenida
adelante,normal,manten velocidad normal ya,adelante,normal
prendida,detenida,a la izquierda con calma!,izquierda,lenta
prendida,detenida,dobla a la derecha mete velocidad,derecha,rapido
prendida,detenida,Muevete Adelante,adelante,null
adelante,lenta,silla derecha,adelante + derecha,lenta
izquierda,normal,reduce velocidad,izquierda,lenta
prendida,detenida,apaga de una,apagar,detenida
izquierda,rapido,desacelera de una,izquierda,lenta
prendida,detenida,avanza con calma!!,adelante,lenta
adelante + derecha,rapido,para enfrente,adelante,rapido
prendida,detenida,A LA DERECHA,derecha,null
adelante + izquierda,normal,VOLTEA A LA DERECHA,adelante,normal
apagado,detenida,Arranca De Una,prender,detenida
apagado,detenida,activate de una,prender,detenida
prendida,lenta,pa enfrente!!,adelante,null
adelante + izquierda,lenta,silla derecha,adelante,lenta
prendida,detenida,izquierda ya,izquierda,null
adelante,lenta,gira a la derecha,adelante + derecha,lenta
adelante,detenida,NORMAL YA,adelante,normal
adelante,lenta,gira a la derecha,adelante + derecha,lenta
prendida,detenida,pa' la derecha mas rapido,derecha,rapido
adelante,lenta,gira a la derecha,adelante + derecha,lenta
apagado,detenida,prendete rapido,prender,detenida
prendida,detenida,Derecha,derecha,null
apagado,detenida,prenDete Ahora,prender,detenida
prendida,detenida,apaga de una,apagar,detenida
prendida,normal,auMenta la VeLociDad EN corto,null,rapido
apagado,detenida,prendete de una,prender,detenida
adelante + izquierda,normal,Vamos Adelante,adelante,normal
apagado,detenida,encIendE,prender,detenida
prendida,detenida,dale derecho con mas velocidad,adelante,rapido
prendida,detenida,silla adelante,adelante,null
derecha,detenida,normal,derecha,normal
prendida,detenida,apaga ya,apagar,detenida
derecha,rapido,manten velocidad normal ya,derecha,normal
prendida,detenida,RUEDA PARA ADELANTE METE VELOCIDAD,adelante,rapido
adelante,rapido,a la izquierda,adelante + izquierda,rapido
adelante + derecha,rapido,para enfrente,adelante,rapido
adelante,normal,desacelera ahorita,adelante,lenta
prendida,detenida,echale para enfrente apurate,adelante,rapido
adelante,normal,manten velocidad normal ahorita,adelante,normal
adelante,lenta,mete mas velocidad,adelante,rapido
prendida,detenida,mas rapido!!,null,rapido
adelante,lenta,reduce la velocidad en este momento,adelante,lenta
prendida,detenida,da vuelta pa' la izquierda lento.,izquierda,lenta
prendida,detenida,derecha,derecha,null
adelante,rapido,gira a la izquierda,adelante + izquierda,rapido
apagado,detenida,enciende en este momento,prender,detenida
prendida,detenida,Pa' La Izquierda Con Cuidado,izquierda,lenta
prendida,normal,lento,null,lenta
adelante,normal,a velocidad normal de una,adelante,normal
prendida,detenida,pa enfrente,adelante,null
prendida,detenida,continua para adelante con mas velocidad,adelante,rapido
apagado,detenida,arranca ya,prender,detenida
adelante,rapido,modo normal ya,adelante,normal
adelante + derecha,lenta,muevete adelante,adelante,lenta
adelante,detenida,subele la velocidad en corto,adelante,rapido
adelante + derecha,normal,izquierda ya,adelante,normal
