estado_accion,estado_velocidad,frase,accion,velocidad
prendida,detenida,oye rueda para enfrente despacio ahorita,adelante,lenta
adelante,normal,silla gira a la derecha por favor,adelante + derecha,normal
atras,detenida,no tan rapido en corto,atras,lenta
prendida,detenida,ve de frente despacito,adelante,lenta
adelante,normal,hey dobla a la derecha ahorita,adelante + derecha,normal
prendida,detenida,por favor echale para enfrente de inmediato,adelante,null
prendida,detenida,hey para atras,atras,null
adelante,rapido,desacelera en corto,adelante,lenta
adelante,rapido,por favor con mas velocidad en este momento,adelante,rapido
atras,detenida,bajale la velocidad de inmediato,atras,lenta
prendida,normal,por favor retrocede,atras,null
adelante,normal,nOrmal,adelante,normal
prendida,detenida,hey ve hacia adelante ya??,adelante,null
prendida,detenida,silla sigue en reversa suavecito??,atras,lenta
atras,normal,a velocidad normal ahorita,atras,normal
prendida,detenida,avanza,adelante,null
prendida,detenida,hey gira a la izquierda por favor,izquierda,null
prendida,detenida,para atras a velocidad normal por favor.,atras,normal
adelante,normal,silla izquierda,adelante + izquierda,normal
prendida,detenida,desconectate ahora,apagar,detenida
prendida,detenida,hey dale para adelante con calma,adelante,lenta
atras,rapido,a velocidad normal ya,atras,normal
adelante,detenida,a lA derEcHA,adelante + derecha,detenida
prendida,detenida,muevete atras,atras,null
adelante,normal,por favor mueve a la izquierda ahora,adelante + izquierda,normal
prendida,detenida,hey tuerce a la izquierda,izquierda,normal
prendida,detenida,silla voltea a la izquierda!!,izquierda,null
adelante + izquierda,rapido,silla voltea a la derecha,adelante,rapido
prendida,normal,silla muevete atras,atras,null
adelante + derecha,normal,a la izquierda por favor,adelante,normal
atras,lenta,hey reduce un poco la velocidad por favor,atras,normal
apagado,detenida,hey pRende de unA,prender,detenida
adelante,normal,mUeve a la IzquIerDa,adelante + izquierda,normal
atras,detenida,hey manten velocidad normal ahorita ahorita,atras,normal
prendida,detenida,Pa' Atras Tranqui Ahora...,atras,lenta
adelante,normal,giRa IZquiErda PoR FAVor,adelante + izquierda,normal
adelante,normal,baja la velocidad,adelante,lenta
prendida,detenida,por favor continua al frente despacito,adelante,lenta
prendida,detenida,hey da marcha atras ahorita,atras,normal
prendida,detenida,SIGUE ADELANTE DE INMEDIATO,adelante,null
prendida,rapido,oye continua hacia adelante,adelante,null
adelante,lenta,gira a la izquierda...,adelante + izquierda,lenta
prendida,detenida,a veLocidad normal ahorita,null,normal
adelante,detenida,silla a velocidad normal en este momento,adelante,normal
prendida,detenida,cierra ahorita ahorita,apagar,detenida
apagado,detenida,prendete ahorita,prender,detenida
prendida,detenida,hey voltea a la derecha,derecha,null
prendida,detenida,Silla Continua Al Frente A Velocidad Normal,adelante,normal
prendida,detenida,recula,atras,null
prendida,detenida,MUEVETE PARA LA IZQUIERDA RAPIDO,izquierda,rapido
prendida,detenida,sigue hacia adelante rapido ya,adelante,rapido
prendida,detenida,silla muevete para enfrente mete velocidad de inmediato??,adelante,rapido
prendida,detenida,muevete adelante por favor,adelante,null
prendida,detenida,hey dale adelante,adelante,null
derecha,detenida,ponlo normal ahorita,derecha,normal
prendida,detenida,ve hacia atras ponlo normal,atras,normal
adelante,lenta,oye mas despacio de inmediato,adelante,lenta
prendida,detenida,ve para la izquierda apurate,izquierda,rapido
prendida,detenida,hacia atras con calma por favor,atras,lenta
adelante,lenta,izquierda!!,adelante + izquierda,lenta
prendida,detenida,por favor apaga en corto!!,apagar,detenida
prendida,detenida,hey con calma ahorita ya,null,lenta
derecha,rapido,silla no tan rapido en corto,derecha,lenta
prendida,detenida,avanza de inmediato,adelante,null
apagado,detenida,eNcIeNdete,prender,detenida
derecha,normal,mete mas velocidad,derecha,rapido
prendida,detenida,arrancate de frente,adelante,normal
prendida,detenida,silla muevete adelante,adelante,null
prendida,detenida,silla APaGate ahoRita,apagar,detenida
prendida,detenida,por favor bajale la velocidad,null,lenta
adelante,detenida,REDUCE LA VELOCIDAD EN FRIEGA YA,adelante,lenta
adelante + derecha,lenta,silla dobla a la izquierda por favor,adelante,lenta
apagado,detenida,silla inicia,prender,detenida
adelante + izquierda,normal,Silla Derecha??,adelante,normal
izquierda,normal,hey normal ya,izquierda,normal
prendida,detenida,oye avanza por favor,adelante,null
prendida,normal,oye muevete adelante,adelante,null
izquierda,lenta,ve despacio ahorita por favor,izquierda,lenta
prendida,detenida,Silla Duerme,apagar,detenida
prendida,detenida,mUeVe a la izquieRda ahora,izquierda,null
atras,rapido,por favor a velocidad normal ahorita,atras,normal
prendida,detenida,hey a la derecha,derecha,null
prendida,detenida,hey para atras lento ahorita,atras,lenta
apagado,detenida,oye arranca ahorita,prender,detenida
prendida,detenida,mete mas velocidad ya por favor?,null,rapido
adelante,rapido,voltea a la deRecHa De inmedIaTO,adelante + derecha,rapido
adelante,rapido,gira a la derecha??,adelante + derecha,rapido
adelante + derecha,lenta,hey voltea a la izquierda!,adelante,lenta
prendida,detenida,Hey Cierra En Friega,apagar,detenida
adelante + derecha,rapido,vamos adelante.,adelante,rapido
adelante,lenta,modo normal ahorita ahorita,adelante,normal
prendida,detenida,de reversa ya,atras,normal
prendida,detenida,por favor regresate hacia atras despacio,atras,lenta
derecha,normal,silla mas rapido ya ahora,derecha,rapido
prendida,detenida,sIgue aL FrEnTe rApIdo ya,adelante,rapido
prendida,normal,no Tan rapido de iNmedIaTO,null,lenta
prendida,normal,oye manten velocidad normal ya de inmediato,null,normal
apagado,detenida,INICIA EN FRIEGA!,prender,detenida
prendida,detenida,dobla para la izquierda,izquierda,normal
prendida,normal,retrocede,atras,null
atras,lenta,hey aumenta la velocidad ahorita,atras,rapido
adelante,normal,Oye Ve Despacio Ahorita,adelante,lenta
prendida,detenida,por favor atras,atras,null
apagado,detenida,arranca de una,prender,detenida
prendida,detenida,dale adelAnTe rapIdo ahorita,adelante,rapido
prendida,detenida,oye pa atras ahora,atras,null
apagado,detenida,silla enciendete de una.,prender,detenida
apagado,detenida,por favor enciende ahora,prender,detenida
prendida,normal,silla no tan rapido en este momento,null,lenta
prendida,detenida,pa' atras despacito,atras,lenta
prendida,detenida,silla cierra en friega,apagar,detenida
prendida,detenida,hey dale adelante lenta,adelante,lenta
prendida,detenida,para enfrente ahora!!,adelante,null
adelante + derecha,rapido,por favor gira izquierda,adelante,rapido
prendida,detenida,a la izquierda?,izquierda,null
adelante,rapido,SILLA A VELOCIDAD NORMAL YA,adelante,normal
prendida,rapido,oye con mas velocidad ahora!!,null,rapido
adelante,lenta,DOBLA A LA IZQUIERDA,adelante + izquierda,lenta
prendida,detenida,Retrocede Ahora,atras,null
prendida,detenida,oye poNtE EN reversa mAs RaPIdo??,atras,rapido
prendida,detenida,oye da reversa velocidad normal,atras,normal
apagado,detenida,enciende ahora,prender,detenida
adelante,lenta,mete mas velocidad ahora,adelante,rapido
prendida,detenida,para enfrente suavecito,adelante,lenta
prendida,lenta,Silla Pa Atras De Inmediato,atras,null
prendida,detenida,mete mas VeloCidad de una,null,rapido
prendida,detenida,oye derecha de inmediato,derecha,null
prendida,rapido,ve despacio ahorita por favor,null,lenta
adelante,normal,dobla a la izquierda,adelante + izquierda,normal
prendida,detenida,da marcha atras a velocidad normal,atras,normal
adelante + izquierda,rapido,silla gira a la derecha,adelante,rapido
adelante + derecha,normal,izQuierdA,adelante,normal
prendida,detenida,Ve Hacia Adelante?,adelante,null
prendida,lenta,atras,atras,null
derecha,normal,MANTEN VELOCIDAD NORMAL AHORITA POR FAVOR,derecha,normal
prendida,normal,CONTINUA HACIA ADELANTE,adelante,null
apagado,detenida,silla ACtivaTE en cOrTo,prender,detenida
atras,lenta,bajale la velocidad de una,atras,lenta
prendida,detenida,manten velocidad normal en friega...,null,normal
prendida,normal,hey para enfrente ya...,adelante,null
adelante,rapido,por favor gira derecha ahorita,adelante + derecha,rapido
prendida,detenida,RECULA,atras,null
prendida,detenida,PAra atRaS noRMal,atras,normal
adelante,rapido,bajale la velocidad ya,adelante,lenta
prendida,rapido,oye con mas velocIdAD ahora de inmediato,null,rapido
atras,detenida,por favor mete mas velocidad en corto,atras,rapido
prendida,detenida,oye hacia adelante suavecito,adelante,lenta
prendida,normal,pa atras por favor,atras,null
adelante,rapido,por favor con calma de una,adelante,lenta
adelante + derecha,lenta,mueve a la izquierda de inmediato,adelante,lenta
prendida,detenida,silla continua derecho tranqui,adelante,lenta
prendida,detenida,muevete hacia adelante apurate por favor,adelante,rapido
prendida,detenida,dale de reversa mas rapido,atras,rapido
prendida,detenida,oye echate para atras,atras,null
prendida,detenida,silla regresate pa' atras apurate ahora,atras,rapido
prendida,rapido,SILLA VE DESPACIO EN CORTO,null,lenta
prendida,lenta,mas lento en friega ya,null,lenta
prendida,detenida,retrocede ponlo normal por favor,atras,normal
prendida,detenida,echale para enfrente despacito de inmediato...,adelante,lenta
atras,lenta,por favor mas rapido en este momento??,atras,rapido
adelante,rapido,Voltea A La Derecha De Inmediato,adelante + derecha,rapido
prendida,normal,RETROCEDE AHORA,atras,null
atras,lenta,SUBELE LA VELOCIDAD AHORITA,atras,rapido
prendida,detenida,silla ve despacio ahorita,null,lenta
prendida,rapido,con mas velocidad de una!,null,rapido
adelante,lenta,SILLA CON MAS VELOCIDAD AHORITA,adelante,rapido
adelante + izquierda,lenta,para enfrente de inmediato!!,adelante,lenta
apagado,detenida,hey inicia de inmediato,prender,detenida
prendida,detenida,por favor muevete hacia la derecha,derecha,normal
adelante,normal,mete mas velocidad de inmediato de inmediato,adelante,rapido
prendida,detenida,Tuerce Pa' La Izquierda Apurate Ahora,izquierda,rapido
adelante,normal,mueve a la izquierda ahora,adelante + izquierda,normal
prendida,detenida,muevete pa' la derecha,derecha,normal
prendida,detenida,oye avaNzA Acelera,adelante,rapido
prendida,detenida,VOLTEA A LA IZQUIERDA YA,izquierda,null
adelante + derecha,rapido,hey gira a la izquierda ahorita,adelante,rapido
adelante + izquierda,rapido,a la derecha ahorita,adelante,rapido
adelante,rapido,silla dobla a la IzQuierda...,adelante + izquierda,rapido
prendida,normal,ATRAS DE INMEDIATO,atras,null
prendida,detenida,por favor muevete hacia atras apurate...,atras,rapido
adelante + izquierda,rapido,Por Favor Avanza Ahorita!!,adelante,rapido
prendida,lenta,para enfrente ya,adelante,null
izquierda,rapido,silla aumenta la velocidad de inmediato de inmediato,izquierda,rapido
adelante,normal,gIra izquierda,adelante + izquierda,normal
adelante,rapido,hey dobla a la izquierda,adelante + izquierda,rapido
adelante,normal,oye voltea a la derecha,adelante + derecha,normal
derecha,normal,mas lento de una,derecha,lenta
atras,detenida,silla subele la velocidad en este momento ahorita??,atras,rapido
atras,normal,Ve Despacio En Este Momento.,atras,lenta
adelante,lenta,VOLTEA A LA IZQUIERDA,adelante + izquierda,lenta
prendida,detenida,rueda rueda hacia atras,atras,normal
prendida,detenida,por favor para atras,atras,null
prendida,detenida,hey llegale de frente tranqui...,adelante,lenta
adelante,normal,oye mete mas velocidad en este momento,adelante,rapido
adelante + izquierda,lenta,dobla a la derecha!,adelante,lenta
adelante,normal,LENTO,adelante,lenta
atras,normal,manTen velocIDAd normal ahora,atras,normal
adelante,lenta,Silla A La Izquierda Ahora.,adelante + izquierda,lenta
atras,detenida,disminuye la velocidad a lento,atras,lenta
prendida,detenida,oye dobla a la derecha rapido,derecha,rapido
adelante + derecha,normal,gira izquierda!,adelante,normal
prendida,detenida,pa atras ahorita,atras,null
prendida,detenida,DESCONECTATE AHORA DE INMEDIATO,apagar,detenida
prendida,detenida,hey en reversa apurate ahora??,atras,rapido
prendida,normal,oye pa enfrente!!,adelante,null
adelante,rapido,gira derecha de inmediato.,adelante + derecha,rapido
atras,lenta,CON MAS VELOCIDAD DE UNA!,atras,rapido
prendida,detenida,hiberna!!,apagar,detenida
prendida,detenida,dobla a la derecha con mas velocidad ya,derecha,rapido
adelante + derecha,normal,dale adelante por favor?,adelante,normal
prendida,detenida,silla muevete al frente despacio,adelante,lenta
adelante,rapido,oye mas rapido de una,adelante,rapido
prendida,detenida,reversa ahorita!!,atras,null
adelante + izquierda,normal,hey dobla a la derecha ahorita,adelante,normal
adelante + izquierda,lenta,GIRA A LA DERECHA AHORITA,adelante,lenta
atras,rapido,Reduce La Velocidad Ahora Por Favor...,atras,lenta
prendida,detenida,por favoR sigue aDelante,adelante,null
prendida,rapido,normal,null,normal
adelante,lenta,hey mueve a la derecha,adelante + derecha,lenta
prendida,detenida,hey apaga en este momento ya,apagar,detenida
atras,normal,hey ponlo normal ahorita,atras,normal
prendida,detenida,a LA derecha por fAvor,derecha,null
atras,lenta,bajale la velocidad ahora,atras,lenta
adelante,detenida,Izquierda,adelante + izquierda,detenida
prendida,detenida,para enfrente tranqui!,adelante,lenta
adelante,normal,hey dobla a la derecha ahora,adelante + derecha,normal
adelante,normal,por favor mueve a la derecha,adelante + derecha,normal
atras,detenida,con mas velocidad ahora,atras,rapido
adelante,lenta,hey manten velocidad normal ahora,adelante,normal
prendida,detenida,muevete para enfrente mete velocidad ya!!,adelante,rapido
prendida,detenida,oyE cIerra en friEga ya,apagar,detenida
adelante,detenida,Oye Reduce La Velocidad De Una Por Favor!!,adelante,lenta
prendida,normal,Silla Adelante,adelante,null
adelante + derecha,lenta,GIRA IZQUIERDA POR FAVOR,adelante,lenta
prendida,detenida,oye echale de reversa por favor,atras,normal
prendida,lenta,oYE dESacelerA de una ya,null,lenta
prendida,detenida,vamos adelante ya,adelante,null
prendida,lenta,para atras,atras,null
prendida,detenida,Ve haCia atras rapidO,atras,rapido
adelante,normal,MUEVE A LA IZQUIERDA YA,adelante + izquierda,normal
prendida,lenta,no tan rapido de una ya!!,null,lenta
adelante + derecha,normal,izquierda!,adelante,normal
adelante,normal,gira derecha ahora,adelante + derecha,normal
adelante,normal,gira izquierda ya,adelante + izquierda,normal
prendida,detenida,para atras mas rapido por favor,atras,rapido
adelante,normal,hey con mas velocidad de una,adelante,rapido
prendida,lenta,hey vamos adelante de inmediato,adelante,null
prendida,detenida,por favor muevete adelante,adelante,null
adelante,lenta,OYE GIRA IZQUIERDA!!,adelante + izquierda,lenta
prendida,detenida,ve para atras lento ahora!!,atras,lenta
adelante,lenta,hey gira derecha,adelante + derecha,lenta
prendida,lenta,por favor con calma de una,null,lenta
prendida,detenida,gira a la izquierda!!,izquierda,null
prendida,detenida,silla en reversa suavecito,atras,lenta
adelante,normal,hey izquierda,adelante + izquierda,normal
prendida,detenida,ve de reversa a velocidad normal,atras,normal
prendida,lenta,ve hacia atras ahora,atras,null
prendida,lenta,OYE METE MAS VELOCIDAD EN ESTE MOMENTO,null,rapido
prendida,detenida,continua derecho,adelante,normal
apagado,detenida,Arranca Ya Por Favor...,prender,detenida
apagado,detenida,silla activate en este momento,prender,detenida
adelante + izquierda,normal,avanza un poco ya,adelante,normal
prendida,detenida,para atras despacito.,atras,lenta
adelante,normal,silla gira a la derecha!,adelante + derecha,normal
prendida,detenida,Por Favor Dale Para Enfrente Con Mas Velocidad Ahorita,adelante,rapido
adelante,detenida,baja a normal,adelante,normal
prendida,detenida,cierra ahora ahora,apagar,detenida
atras,detenida,velocidad normal.,atras,normal
adelante,normal,hey a la derecha ahora?,adelante + derecha,normal
prendida,detenida,reduce la velocidad ya,null,lenta
prendida,detenida,hey a la derecha acelera mas ahora,derecha,rapido
atras,lenta,Silla Desacelera En Corto.,atras,lenta
atras,normal,subele la velocidad de una de inmediato,atras,rapido
apagado,detenida,prender,prender,detenida
adelante,normal,OYE VOLTEA A LA IZQUIERDA YA,adelante + izquierda,normal
prendida,detenida,llegale para atras con cuidado ahora,atras,lenta
prendida,detenida,retrocede despacito ahorita,atras,lenta
adelante,normal,dobla a la derecha ahorita,adelante + derecha,normal
prendida,detenida,rueda hacia adelante con mas velocidad,adelante,rapido
apagado,detenida,enciende ya ya,prender,detenida
adelante,rapido,reduce la velocidad ahorita,adelante,lenta
prendida,detenida,cierra en friega ahora,apagar,detenida
prendida,normal,Hey Con Mas Velocidad,null,rapido
adelante,normal,oye voltea a la derecha de inmediato,adelante + derecha,normal
apagado,detenida,prende de una,prender,detenida
prendida,detenida,silla a la izquierda lento,izquierda,lenta
adelante,detenida,dobla a la derecha??,adelante + derecha,detenida
prendida,normal,Hey Retrocede,atras,null
prendida,detenida,por favor apaga en este momento!,apagar,detenida
adelante,lenta,POR FAVOR MODO NORMAL,adelante,normal
prendida,rapido,por favor despacito!!,null,lenta
prendida,detenida,por favor llegale derecho con cuidado ahorita.,adelante,lenta
prendida,detenida,silla rueda hacia atras mas rapido,atras,rapido
prendida,detenida,continua al frente despacito ahora...,adelante,lenta
prendida,detenida,DALE DERECHO METE VELOCIDAD?,adelante,rapido
prendida,detenida,VAMOS ADELANTE,adelante,null
prendida,detenida,por favor muevete en reversa suavecito ya,atras,lenta
prendida,lenta,por favor subele la velocidad ya,null,rapido
atras,detenida,despacito ya,atras,lenta
adelante,rapido,por favor mas rapido en corto,adelante,rapido
atras,normal,velocidad normal en friega,atras,normal
prendida,detenida,apaga ahora por favor,apagar,detenida
adelante,normal,izquierda de inmediato,adelante + izquierda,normal
prendida,lenta,MUEVETE ADELANTE AHORITA,adelante,null
prendida,detenida,sigue adelante,adelante,null
prendida,detenida,hey RetrocEde yA,atras,null
adelante,rapido,silla dobla a la derecha,adelante + derecha,rapido
prendida,normal,mete velocidad,null,rapido
prendida,rapido,Por Favor Avanza Un Poco?,adelante,null
adelante,lenta,Por Favor A Velocidad Normal En Este Momento,adelante,normal
adelante,normal,derecha ya,adelante + derecha,normal
izquierda,detenida,modo normal ya ahorita,izquierda,normal
prendida,detenida,ve hacia adelante??,adelante,null
apagado,detenida,por favor inicia de inmediato ahora,prender,detenida
prendida,lenta,Oye da ReVersa!,atras,null
prendida,detenida,apagate,apagar,detenida
adelante,lenta,voltea a la derecha ahorita!,adelante + derecha,lenta
adelante,detenida,oye mas lento ahora,adelante,lenta
prendida,lenta,Oye Manten Velocidad Normal Ahora,null,normal
prendida,detenida,a la izquierda ponlo normal de inmediato,izquierda,normal
adelante,detenida,mas rapido,adelante,rapido
adelante,normal,oye voltea a la derecha de inmediato,adelante + derecha,normal
prendida,detenida,silla mUEveTe adelantE ahorita,adelante,null
prendida,detenida,apagate de una,apagar,detenida
prendida,detenida,desacelera ahorita ya,null,lenta
prendida,detenida,continua para atras,atras,normal
adelante,normal,gira a la izquierda por favor,adelante + izquierda,normal
prendida,detenida,Llegale De Reversa Mas Rapido!!,atras,rapido
prendida,detenida,silla ve hacia atras velocidad normal,atras,normal
prendida,detenida,para enfrente de inmediato,adelante,null
prendida,detenida,silla ve hacia atras,atras,null
prendida,detenida,por favor muevete hacia la izquierda apurate.,izquierda,rapido
prendida,detenida,por favor voltea a la izquierda ya,izquierda,null
derecha,rapido,silla subele la velocidad,derecha,rapido
prendida,detenida,GIRA A LA DERECHA AHORITA.,derecha,null
prendida,detenida,hey desacelera en este momento,null,lenta
adelante,normal,gira a la derecha por favor,adelante + derecha,normal
prendida,detenida,dA MArcha atrAs normal Ya,atras,normal
prendida,detenida,por favor apaguete,apagar,detenida
prendida,lenta,baJa a norMal.,null,normal
prendida,detenida,llegale para adelante normal,adelante,normal
prendida,normal,atras,atras,null
prendida,detenida,hey arrancate para atras con mas velocidad,atras,rapido
atras,rapido,mete mas velocidad de inmediato,atras,rapido
prendida,detenida,hacia adelante suavecito,adelante,lenta
prendida,rapido,Pa Atras,atras,null
prendida,detenida,DesacTivate De una,apagar,detenida
apagado,detenida,activate en corto??,prender,detenida
apagado,detenida,oye prende en este momento ahora,prender,detenida
prendida,lenta,HEY ECHALE PARA ENFRENTE AHORA,adelante,null
prendida,detenida,para enfrente rapido ahorita,adelante,rapido
adelante,detenida,silla mete mas velocidad en friega de inmediato,adelante,rapido
adelante,normal,Oye Derecha Ahora!!,adelante + derecha,normal
prendida,detenida,silla Da revErsa Ya,atras,null
prendida,detenida,desactivate ahorita de inmediato,apagar,detenida
adelante + derecha,normal,mueve a la izquierda de inmediato?,adelante,normal
atras,rapido,mas despacio de inmediato,atras,lenta
prendida,detenida,conTinua hacia AdeLantE,adelante,null
adelante + izquierda,normal,Oye gira derecHa Ya,adelante,normal
adelante,normal,mueve a la izquierda.,adelante + izquierda,normal
prendida,detenida,baja a normal por favor,null,normal
prendida,detenida,oye ve al frente lento ahora,adelante,lenta
prendida,detenida,oye ve hacia atras despacio!!,atras,lenta
prendida,detenida,silla voltea A lA dERecha ya,derecha,null
prendida,detenida,aumenta la velocidad ya!!,null,rapido
adelante,lenta,VOLTEA A LA IZQUIERDA,adelante + izquierda,lenta
prendida,detenida,hey voltea a la derecha de inmediato,derecha,null
prendida,detenida,oye apagar de inmediato,apagar,detenida
adelante,lenta,silla gira a la izquierda ahorita,adelante + izquierda,lenta
prendida,detenida,por favor con cuidado ahora!,null,lenta
prendida,detenida,apAga en esTE momeNto,apagar,detenida
adelante + izquierda,rapido,DERECHA,adelante,rapido
apagado,detenida,prendete ahora,prender,detenida
prendida,detenida,gira derecha!!,derecha,null
adelante,detenida,manten velocidad normal en friega ya,adelante,normal
prendida,detenida,Muevete A La Izquierda,izquierda,normal
adelante,lenta,DOBLA A LA DERECHA,adelante + derecha,lenta
adelante + derecha,lenta,gira izquierda ya,adelante,lenta
prendida,detenida,hey muevete hacia la izquierda rapido,izquierda,rapido
atras,detenida,hey subeLe la veloCidad en fRiega,atras,rapido
prendida,detenida,Apagate Ahora Ahora,apagar,detenida
prendida,detenida,Arrancate En Reversa,atras,normal
adelante + derecha,normal,mueve a la izquierda.,adelante,normal
prendida,detenida,REVERSA,atras,null
adelante + izquierda,lenta,pa enfrente ahora,adelante,lenta
prendida,normal,oye avanza ahorita,adelante,null
prendida,detenida,hey hazte para atras normal de inmediato,atras,normal
prendida,detenida,hey izquierda de inmediato,izquierda,null
adelante,rapido,hey a la derecha,adelante + derecha,rapido
adelante + izquierda,rapido,hey continua hacia adelante,adelante,rapido
prendida,detenida,hey avanza lenta,adelante,lenta
prendida,detenida,apagate ahora,apagar,detenida
izquierda,rapido,oye manten velocidad normal ahorita,izquierda,normal
prendida,detenida,pa enfrente,adelante,null
atras,rapido,por favor no tan rapido en corto,atras,lenta
apagado,detenida,inicia,prender,detenida
prendida,detenida,sigue para atras,atras,normal
izquierda,detenida,por favor rapido,izquierda,rapido
prendida,normal,oye sigue adelante,adelante,null
prendida,rapido,oye normal en friega por favor??,null,normal
adelante + izquierda,normal,GIRA DERECHA,adelante,normal
adelante + derecha,lenta,dobla a la izquierda,adelante,lenta
adelante,lenta,Por Favor Derecha??,adelante + derecha,lenta
adelante,rapido,volteA a la DErecha poR favoR,adelante + derecha,rapido
adelante,normal,Oye A La Izquierda.,adelante + izquierda,normal
izquierda,rapido,con calma,izquierda,lenta
prendida,detenida,echale al frente mas rapido.,adelante,rapido
adelante + izquierda,normal,Silla gira derecha,adelante,normal
prendida,lenta,SIGUE ADELANTE,adelante,null
prendida,detenida,Por Favor Velocidad Normal En Friega,null,normal
prendida,detenida,oye de reversa con cuidado ya,atras,lenta
prendida,lenta,muevete atras!!,atras,null
prendida,detenida,pa atras,atras,null
prendida,detenida,OYE DISMINUYE LA VELOCIDAD AHORITA,null,normal
adelante,detenida,hey izquierda ahorita.,adelante + izquierda,detenida
izquierda,lenta,oye velocidad normal en este momento?,izquierda,normal
adelante + izquierda,detenida,Oye Gira Derecha,adelante,detenida
adelante,lenta,silla a la derecha,adelante + derecha,lenta
prendida,detenida,muevete al lado derecho ahora,derecha,normal
adelante + izquierda,normal,hey vamos adelante,adelante,normal
adelante,lenta,MUEVE A LA DERECHA AHORITA,adelante + derecha,lenta
prendida,detenida,para atras ahorita...,atras,null
atras,rapido,por favor aumenta la velocidad ya ahorita,atras,rapido
prendida,detenida,cierra en corto,apagar,detenida
prendida,detenida,oye reversa modo normal,atras,normal
prendida,detenida,silla apagate en friega,apagar,detenida
prendida,detenida,ve hacia adelante ya,adelante,null
prendida,detenida,ve en reversa normal,atras,normal
prendida,detenida,hey derecha,derecha,null
prendida,detenida,ponte en reversa con mas velocidad,atras,rapido
adelante + derecha,normal,silla adelante,adelante,normal
adelante,normal,a la derecha ya??,adelante + derecha,normal
adelante,rapido,voltea a la izquierda ahorita!!,adelante + izquierda,rapido
prendida,lenta,silla continua hacia adelante ya,adelante,null
adelante,rapido,silla velocidad normal en friega!,adelante,normal
prendida,rapido,reversa ya,atras,null
prendida,lenta,silla muevete adelante,adelante,null
prendida,lenta,hey con calma ahora ya,null,lenta
prendida,normal,oye para enfrente por favor,adelante,null
prendida,normal,avanza!,adelante,null
adelante,detenida,SILLA MANTEN VELOCIDAD NORMAL AHORA?,adelante,normal
prendida,detenida,hey sigue derecho suavecito de inmediato,adelante,lenta
prendida,detenida,OYE VE PA' LA DERECHA CON MAS VELOCIDAD?,derecha,rapido
prendida,detenida,por favor reversa lento,atras,lenta
prendida,detenida,hey pa eNfrENte!,adelante,null
prendida,detenida,Oye Echale De Reversa,atras,normal
izquierda,lenta,silla con calma en corto,izquierda,lenta
prendida,detenida,continua para adelante apurate,adelante,rapido
prendida,detenida,apaga la silla??,apagar,detenida
adelante + derecha,lenta,sillA a la iZquierda,adelante,lenta
prendida,lenta,hey lenta por favor,null,lenta
adelante,rapido,a la derecha.,adelante + derecha,rapido
izquierda,lenta,Hey Disminuye La Velocidad,izquierda,normal
prendida,detenida,gira a la izquierda de inmediato,izquierda,null
prendida,rapido,hey desacelera en corto de inmediato...,null,lenta
adelante + izquierda,rapido,hey voltea a la derecha,adelante,rapido
prendida,detenida,Oye Continua Hacia Adelante,adelante,null
atras,normal,por favor modo normal ahora ahorita,atras,normal
prendida,detenida,APAGATE YA POR FAVOR,apagar,detenida
prendida,detenida,muevete hacia adelante,adelante,normal
adelante + izquierda,detenida,gira a la derecha ahorita,adelante,detenida
prendida,detenida,OYE ADELANTE MODO NORMAL AHORITA??,adelante,normal
prendida,normal,METE MAS VELOCIDAD DE INMEDIATO.,null,rapido
prendida,detenida,Pa Atras Ya,atras,null
prendida,rapido,por favor recula,atras,null
adelante,lenta,oye gira derecha,adelante + derecha,lenta
apagado,detenida,enciende ahora.,prender,detenida
adelante,detenida,trAnqUi,adelante,lenta
adelante + izquierda,rapido,silla gira a la derecha.,adelante,rapido
adelante + izquierda,lenta,GIRA A LA DERECHA POR FAVOR,adelante,lenta
adelante,lenta,acelera mas de inmediato,adelante,rapido
prendida,detenida,por favor pa atras,atras,null
atras,detenida,silla no tan rapido ya??,atras,lenta
prendida,normal,oye vamos adelante,adelante,null
apagado,detenida,prendete de una,prender,detenida
atras,rapido,silla mas lento de una,atras,lenta
prendida,detenida,Al Frente A Velocidad Normal Ahorita,adelante,normal
prendida,detenida,SILLA DALE ADELANTE AHORA!!,adelante,null
adelante + izquierda,lenta,por Favor ve haciA Adelante,adelante,lenta
prendida,detenida,atras lento por favor,atras,lenta
adelante,lenta,desacelera de una,adelante,lenta
prendida,detenida,pa' la izquierda despacio ya,izquierda,lenta
prendida,detenida,hey gira a la izquierda ahorita,izquierda,null
adelante,lenta,por favor dobla a la derecha??,adelante + derecha,lenta
atras,detenida,por favor normal,atras,normal
apagado,detenida,silla enciende ahora ya,prender,detenida
adelante,rapido,manten velocidad normal ahora de inmediato,adelante,normal
prendida,detenida,Oye A La Izquierda,izquierda,null
prendida,normal,oye pa enfrentE.,adelante,null
prendida,detenida,silla pa' atras normal ahora!!,atras,normal
prendida,lenta,aumenta la velocidad de inmediato...,null,rapido
izquierda,rapido,hey veloCiDad nOrmal en este mOmento por faVor,izquierda,normal
adelante + izquierda,rapido,gira a la derecha por favor,adelante,rapido
apagado,detenida,oye inicia de inmediato,prender,detenida
izquierda,detenida,silla reduce la velocidad en este momento!,izquierda,lenta
prendida,detenida,Oye Muevete Hacia La Derecha Lento,derecha,lenta
prendida,detenida,DERECHA AHORA,derecha,null
